【汉字篇】
夢|ゆめ|梦想、梦境|夢はとても大切です。|使用「夢」的例句：梦想、梦境很重要
大げさ|おおげさ|夸张的、夸大其词的|大げさ人です。|使用「大げさ」的例句：夸张的、夸大其词的的人
大雑把|おおざっぱ|草率的、粗略的|大雑把な計画|草率的计划
おしゃれ|おしゃれ|时尚的|おしゃれ人です。|使用「おしゃれ」的例句：时尚的的人
あやふや|あやふや|模糊的、不明确的|あやふや人です。|使用「あやふや」的例句：模糊的、不明确的的人
わがまま|わがまま|任性的、自私的|とてもわがままです。|使用「わがまま」的例句：非常任性的、自私的

【外来词篇】
アウト|out|出局、外部|アウトについて話します。|使用「アウト」的例句：谈论出局、外部
アクシデント|accident|事故、意外|アクシデントについて話します。|使用「アクシデント」的例句：谈论事故、意外
アクション|action|行动、动作|よくアクションます。|使用「アクション」的例句：经常行动、动作
アピール|appeal|吸引、呼吁|新しいアピールです。|使用「アピール」的例句：新的吸引、呼吁
アプローチ|approach|方法、接近|アプローチはとても大切です。|使用「アプローチ」的例句：方法、接近很重要
アポ|appointment|约会、见面|3時にアポを入れる|约在3点
アマチュア|amateur|业余爱好者、外行|アマチュアところです。|使用「アマチュア」的例句：业余爱好者、外行的地方
アルファベット|alphabet|字母表|アルファベットが好きです。|使用「アルファベット」的例句：喜欢字母表
アレルギー|allergie|过敏|アレルギーはとても大切です。|使用「アレルギー」的例句：过敏很重要
アレンジ|arrange|安排、改编|アレンジが好きです。|使用「アレンジ」的例句：喜欢安排、改编
イラスト|illustration|插画、图解|イラストを買いました。|使用「イラスト」的例句：买了插画、图解
インストール|install|安装|インストールを買いました。|使用「インストール」的例句：买了安装
インタビュー|interview|采访|有名な俳優にインタビューする|采访一位著名的演员
インテリア|interior|室内装饰|新しいインテリアです。|使用「インテリア」的例句：新的室内装饰
インパクト|impact|影响、冲击|これはインパクトです。|使用「インパクト」的例句：这是影响、冲击
インフレ|inflation|通货膨胀|インフレが好きです。|使用「インフレ」的例句：喜欢通货膨胀
ウイルス|virus|病毒|コンピューターウイルスに感染した|感染了电脑病毒
エネルギー|energy|能源、能量|再生可能エネルギーを活用する|利用可再生能源
エラー|error|错误|エラーはとても大切です。|使用「エラー」的例句：错误很重要
エンジン|engine|引擎|車のエンジンをかける|启动汽车引擎
オーバー|over|超过；夸大的、夸张的|予算をオーバーする|超预算
ガイド|guide|指南、导游|ガイドを買いました。|使用「ガイド」的例句：买了指南、导游
カタログ|catalogue|商品目录|新しい商品のカタログを取り寄せる|调取新产品目录
カテゴリー|category|范畴|本のカテゴリー|书的类别
カバー|cover|套子、壳；覆盖；补偿、弥补|赤字をカバーする|弥补赤字
カレンダー|calendar|日历|来年のカレンダーを買う|买明年的日历
キャンセル|cancel|取消|キャンセルが好きです。|使用「キャンセル」的例句：喜欢取消
キャンプ|camp|露营、帐篷|週末に家族でキャンプに行く|周末和家人去露营
クリア|clear|清晰的|クリア人です。|使用「クリア」的例句：清晰的的人
クリーニング|cleaning|清洗；干洗|スーツをクリーニングに出す|把西装送去干洗
クリック|click|点击、单击|スタートボタンをクリックする|点击开始键
ケア|care|关心、护理|ケアについて話します。|使用「ケア」的例句：谈论关心、护理
ゲスト|guest|客人、嘉宾|新しいゲストです。|使用「ゲスト」的例句：新的客人、嘉宾
コーチ|coach|教练|サッカーのコーチ|足球教练
ゴール|goal|目标、进球|新しいゴールです。|使用「ゴール」的例句：新的目标、进球
コメント|comment|评论、见解|彼の発言に対してコメントを控えます|对于他的发言，我不作评论
コレクション|collection|收集、收藏品|切手をコレクションしている|收集邮票
コンテスト|contest|比赛、竞赛|料理コンテストに参加する|参加烹饪比赛
コントロール|control|控制、调节|感情をコントロールする|控制情绪
サイン|sign|签名；信号|契約書にサインをする|在合同上签名
サポート|support|支持、援助|サポートが好きです。|使用「サポート」的例句：喜欢支持、援助
シーズン|season|季节|桜のシーズンがやってきた|樱花季到来了
シート|seat|座位、座席|電車の優先シートに座る|坐在电车的优先座位上
ショック|shock|震惊、冲击|ショックが好きです。|使用「ショック」的例句：喜欢震惊、冲击
シリーズ|series|系列；丛书|シリーズ作品|系列作品
シンプル|simple|简单、朴素|シンプルを買いました。|使用「シンプル」的例句：买了简单、朴素
スケジュール|schedule|日程；日程表|来週のスケジュールを確認する|确认下周的日程
ステージ|stage|舞台、阶段|ステージはとても大切です。|使用「ステージ」的例句：舞台、阶段很重要
ステップ|step|步骤、台阶|ステップを買いました。|使用「ステップ」的例句：买了步骤、台阶
ストライキ|strike|罢工|これはストライキです。|使用「ストライキ」的例句：这是罢工
ストレス|stress|压力、紧张|新しいストレスです。|使用「ストレス」的例句：新的压力、紧张
ストロー|straw|吸管|ジュースをストローで飲む|用吸管喝果汁
スピーチ|speech|演讲、讲话|スピーチを買いました。|使用「スピーチ」的例句：买了演讲、讲话
スペース|space|空间|新しいスペースです。|使用「スペース」的例句：新的空间
スマート|smart|苗条、漂亮|新しいスマートです。|使用「スマート」的例句：新的苗条、漂亮
スムーズ|smooth|平滑、流畅|スムーズはとても大切です。|使用「スムーズ」的例句：平滑、流畅很重要
スライド|slide|幻灯片；调整；滑动|プレゼンのスライドを作る|制作展示用的PPT
セット|set|组、布置|これはセットです。|使用「セット」的例句：这是组、布置
ゼミ|seminar|课堂讨论、研讨会|これはゼミです。|使用「ゼミ」的例句：这是课堂讨论、研讨会
セロテープ|cello tape|透明胶带|これはセロテープです。|使用「セロテープ」的例句：这是透明胶带
センス|sense|感觉、感受力|彼はファッションのセンスがいい|他很有时尚品味
ソフト|soft|柔软的；软件|新しいソフトをインストールする|安装新的软件
ターゲット|target|目标、对象|新しいターゲットです。|使用「ターゲット」的例句：新的目标、对象
タイトル|title|标题、题目|本のタイトルを決める|决定书的标题
タイミング|timing|时机、时序|タイミングが好きです。|使用「タイミング」的例句：喜欢时机、时序
タイム|time|时间|タイムを持っています。|使用「タイム」的例句：有时间
ダウン|down|下降、下落|ダウンが好きです。|使用「ダウン」的例句：喜欢下降、下落
ダメージ|damage|伤害、损害|これはダメージです。|使用「ダメージ」的例句：这是伤害、损害
タレント|talent|演员、艺人|タレントが好きです。|使用「タレント」的例句：喜欢演员、艺人
チーム|team|队；团队|野球のチームに入る|加入棒球队
チェンジ|change|变化、兑换|チェンジについて話します。|使用「チェンジ」的例句：谈论变化、兑换
チャージ|charge|充电、收费|チャージを買いました。|使用「チャージ」的例句：买了充电、收费
チャンス|chance|机会|これはチャンスです。|使用「チャンス」的例句：这是机会
データ|data|数据|重要なデータを保存する|保存重要数据
テクニック|technique|技巧、技术|テクニックについて話します。|使用「テクニック」的例句：谈论技巧、技术
デザート|dessert|甜食|食後にデザートを食べる|饭后吃甜点
デザイン|design|设计|デザインを持っています。|使用「デザイン」的例句：有设计
デフレ|deflation|通货紧缩|デフレはとても大切です。|使用「デフレ」的例句：通货紧缩很重要
デモ|demonstration|示威|旅行街でデモが行われている|街上正在进行示威游行
テロ|terror|恐怖行为|テロが好きです。|使用「テロ」的例句：喜欢恐怖行为
トランプ|trump|扑克牌|家族でトランプをする|和家人一起玩扑克牌
トレーニング|training|训练、练习|毎日ジムでトレーニングする|每天在健身房训练
トンネル|tunnel|隧道|このトンネルを抜けると、海が見えてくるよ|穿过这个隧道后，就能看到大海了
ナイーブ|naivety|天真烂漫|彼はナイーブな性格だ|他性格单纯
ナンセンス|nonsense|荒谬的；无意义的|そんな話、ナンセンスだよ|那种说法太荒唐了
ニュアンス|nuance|微妙的区别|微妙なニュアンスの違いがある|有细微的意义差别
バーゲン|bargain|大减价|バーゲン気持ちです。|使用「バーゲン」的例句：大减价的心情
ハード|hard|硬、困难|ハードについて話します。|使用「ハード」的例句：谈论硬、困难
ハーフ|half|一半；混血儿|中国人とフランス人のハーフ|中法混血儿
パターン|pattern|型、模式|生活のパターンを変えたい|想改变生活模式
バランス|balance|平衡、均衡|仕事と生活のバランスを取る|保持工作与生活的平衡
パンク|punk|爆胎|新しいパンクです。|使用「パンク」的例句：新的爆胎
ビタミン|vitamin|维生素|ビタミンについて話します。|使用「ビタミン」的例句：谈论维生素
ビニール|vinyl|塑料|これはビニールです。|使用「ビニール」的例句：这是塑料
ヒント|hint|暗示、提示|クイズのヒントをもらった|得到了谜题的提示
ファン|fan|粉丝、风扇|ファンを持っています。|使用「ファン」的例句：有粉丝、风扇
ブーム|boom|热潮、高潮|健康ブームが続いている|健康热潮持续中
ブザー|buzzer|蜂鸣器|試合終了のブザーが鳴る|比赛结束的蜂鸣器响了
プラス|plus|加号；有利|新しい経験は自分にとってプラスになる|新的经验对自己是有益的
プレッシャー|pressure|压力|新しいプレッシャーです。|使用「プレッシャー」的例句：新的压力
フレッシュ|fresh|新鲜、清新|フレッシュ気持ちです。|使用「フレッシュ」的例句：新鲜、清新的心情
プロ|professional|专业的、职业的|彼はプロのカメラマンだ|他是专业摄影师
プログラム|program|计划；电脑程序|会議のプログラムを確認する|确认会议的日程安排
フロント|front|正面；前台|ホテルのフロントでチェックインする|在酒店前台办理入住
ベンチ|bench|长椅、长凳|公園のベンチで休憩する|在公园的长椅上休息
ホイル|foil|锡纸|ホイルについて話します。|使用「ホイル」的例句：谈论锡纸
ポーズ|pose|姿势|カメラに向かってポーズをとる|朝着相机摆姿势
ポスター|poster|海报、宣传画|コンサートのポスター|音乐会的海报
ホチキス|Hotchkiss|订书机|新しいホチキスです。|使用「ホチキス」的例句：新的订书机
ポット|pot|茶壶；暖水瓶|お茶をポットで入れる|用茶壶泡茶
マイペース|my pace|自己的步调|マイペースところです。|使用「マイペース」的例句：自己的步调的地方
マスク|mask|口罩；面具|風邪をひいたのでマスクをする|感冒了，所以戴口罩
マスコミ|mass media|大众传媒|マスコミに報道された|被媒体报道了
ミス|miss|失误、错误|これはミスです。|使用「ミス」的例句：这是失误、错误
ムード|mood|气氛、心情|試験に合格したから、今日はお祝いムードだ|考试合格了，今天想好好庆祝一下
メッセージ|message|信息；致辞|友達にメッセージを送る|给朋友发送信息
ユーモア|humor|幽默|彼はユーモアのセンスがある|他很有幽默感
ユニーク|unique|唯一的、独特的|彼の考え方はユニークだ|他的想法很独特
ライター|lighter|打火机|ガスライターで火をつける|用打火机点火
ライバル|rival|竞争对手|ライバルを持っています。|使用「ライバル」的例句：有竞争对手
ラッシュ|rush|高峰时间|通勤ラッシュ|上下班高峰期
リーダー|leader|领导者|リーダーが好きです。|使用「リーダー」的例句：喜欢领导者
リズム|rhythm|韵律、节奏|音楽のリズムに乗って踊る|跟着音乐的节奏跳舞
リビング|living|客厅|リビングを持っています。|使用「リビング」的例句：有客厅
リラックス|relax|放松|これはリラックスです。|使用「リラックス」的例句：这是放松
ルーズ|loose|松懈、散漫|彼は時間にルーズだ|他对时间很随便
レジ|register|收银台|レジが好きです。|使用「レジ」的例句：喜欢收银台
レジャー|leisure|闲暇、业余时间|これはレジャーです。|使用「レジャー」的例句：这是闲暇、业余时间
レバー|lever|杆、操纵杆|レバーを引いてドアを開ける|拉动操纵杆打开门
レンタル|rental|租赁、出租|レンタルが好きです。|使用「レンタル」的例句：喜欢租赁、出租
ロビー|lobby|大厅、门厅|ホテルのロビーで待ち合わせる|在酒店大堂等人

【副词篇】
あいにく|不凑巧|あいにく留守にしていました|あいにく天気ですね。|使用「あいにく」的例句：あいにく留守にしていました的天气呢
あらゆる|所有|あらゆる手段を試す|あらゆるはとても大切です。|使用「あらゆる」的例句：あらゆる手段を試す很重要
いきなり|突然、冷不防|いきなり泣き出した|いきなり天気ですね。|使用「いきなり」的例句：いきなり泣き出した的天气呢
一層|いっそう|更加|一層努力する|更加努力
一応|いちおう|姑且、大体|一応説明しておく|姑且说明一下
一斉に|いっせいに|一齐、同时|一斉に立ち上がる|同时站起来
一旦|いったん|一旦；姑且、暂且|一旦決めたら最後までやる|一旦決定就要做到最后
いつのまにか|不知不觉地|いつのまにか夜になった|いつのまにか気持ちです。|使用「いつのまにか」的例句：いつのまにか夜になった的心情
いよいよ|到底、终于；越发、更加|いよいよ試合が始まる|比赛终于要开始了|年末が近づき、いよいよ忙しくなる
言わば|いわば|说起来|言わば彼はチームの柱だ|可以说他是团队的支柱
凡そ|およそ|大概、大约|およそ百人が参加した|大约有一百人参加
くれぐれも|一定、千万|くれぐれも気をつけてください|くれぐれもところです。|使用「くれぐれも」的例句：くれぐれも気をつけてください的地方
さっさと|赶快、迅速|さっさと片付ける|さっさとを買いました。|使用「さっさと」的例句：买了さっさと片付ける
更に|さらに|更、越发；再一次、又|更に勉強を頑張る|更加努力学习
直に|じかに|直接|じかに社長と話す|直接和社长交谈
しきりに|一个劲地、不停地|雪がしきりに降っている|しきりに人です。|使用「しきりに」的例句：雪がしきりに降っている的人
従って|したがって|所以、因而|私はその場にいなかった。したがって何も知らない|我当时不在场，所以什么也不知道
徐々に|じょじょに|逐渐、渐渐|徐徐にスピードを上げる|逐渐加速
ずらり|成排地、一大排|ずらりと並べられた商品|ずらりについて話します。|使用「ずらり」的例句：谈论ずらりと並べられた商品
折角|せっかく|特意、好不容易|折角のチャンスを逃した|错失了好不容易得到的机会
せっせと|拼命地、不停地|せっせと働く|せっせとが好きです。|使用「せっせと」的例句：喜欢せっせと働く
せめて|至少、最低|せめて一言言ってほしい|せめて人です。|使用「せめて」的例句：せめて一言言ってほしい的人
今にも|いまにも|马上就要|今にも雨が降りそうだ|马上就要下雨了
大いに|おおいに|非常|大いに盛り上がる|非常热闹
思い切り|おもいきり|尽量地、狠狠地|思い切り遊ぶ|尽情地玩耍
思わず|おもわず|不知不觉地|思わず笑ってしまった|不由自主地笑了出来
必ずしも|かならずしも|不一定、未必|必ずしも成功するとは限らない|不一定能成功
決して|けっして|决不、千万别|決して諦めない|绝不放弃
早速|さっそく|立刻、马上|早速準備を始める|立刻开始准备
始終|しじゅう|始終、不断|始終機嫌が悪い|始終心情不好
ちっとも|一点也不、毫不|ちっとも面白くない|とてもちっともです。|使用「ちっとも」的例句：非常ちっとも面白くない
徹底的に|てっていてきに|贯彻到底|徹底的に調査する|彻底调査
とっくに|很早、已经|とっくに知っている|とてもとっくにです。|使用「とっくに」的例句：非常とっくに知っている
どうせ|反正、终归|どうせやるなら全力で|どうせが好きです。|使用「どうせ」的例句：喜欢どうせやるなら全力で
一先ず|ひとまず|暂且、姑且|一先ず休憩しよう|暂且休息一下吧
独りでに|ひとりでに|自然而然、自动地|独りでにドアが開いた|门自动开了
滅多に|めったに|(不)常、很(少)|都会では蛍は滅多に見られなくなった。|在都市里已经很难见到萤火虫了。
僅かに|わずかに|仅、稍微、一点点|僅かに値段が上がった|价格稍微上涨了一点
少なくとも|すくなくとも|至少、起码|少なくとも三日かかる|至少需要三天
直ちに|ただちに|立刻、马上|直ちに対応する|立即应对
残らず|のこらず|全部|(例句缺失)|(例句缺失)
果たして|はたして|果然|果たして本当にそうだろうか|果然真的是这样吗？
ばったり|突然、意外遇见|友達にばったり出会う|ばったりを買いました。|使用「ばったり」的例句：买了友達にばったり出会う
必死に|ひっしに|拼命|必死に走る|拼命地跑
一通り|ひととおり|大概、大略|一通り目を通す|大致看了一遍
前もって|まえもって|事先、预先|前もって知らせる|事先通知
要するに|ようするに|总而言之|要するに彼は怠け者だ|总而言之，他是个懒人
割に|わりに|比较地；意外地|わりにやさしい問題|相对简单的问题
俄か|にわか|突然、马上|にわかに空が暗くなった|天空突然变暗了

